Entity_Type,Rank,NPI,Alignment_Frequency,Alignment_Name,Alignment_State,In_Complete_Dataset,Coverage_Status
Provider,1,1043325483,73,AMARDEEP MAJHAIL,AZ,No,Missing
Provider,2,1033357553,27,RENE PULIDO,FL,No,Missing
Provider,3,1043452196,16,ANUJ DAFTARI,AZ,Yes,Found
Provider,4,1003260662,14,BASEL SHOUA,TX,No,Missing
Provider,5,1013184423,13,MURALI MURTY,AZ,No,Missing
Provider,6,1023359429,10,TERESA COLUNGA,AZ,No,Missing
Provider,7,1023214491,9,SONI DHANIREDDY,NV,No,Missing
Provider,8,1003878752,8,KHOZEMA RAJKOTWALA,NV,No,Missing
Provider,9,1265591382,7,MATHEW GORDON,TX,No,Missing
Provider,10,1003182106,7,HENRY IGID,NV,No,Missing
Practice,1,1568131365,73,HEALTHCOSMOS MEDICAL GROUP LLC,CA,No,Missing
Practice,2,1912219064,27,EMED URGENT AND PRIMARY CARE INC,FL,No,Missing
Practice,3,1487900817,22,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",AZ,No,Missing
Practice,4,1659696821,16,CARONDELET MEDICAL GROUP,AZ,No,Missing
Practice,5,1417345919,14,ARIZONA ONCOLOGY ASSOCIATES PC,AZ,No,Missing
Practice,6,1659085777,12,"DUKE HEALTH INTEGRATED PRACTICE, INC.",NC,No,Missing
Practice,7,1013198837,11,"AKDHC, LLC",AZ,No,Missing
Practice,8,1801054762,11,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,NC,No,Missing
Practice,9,1427779305,10,"MARIPOSA COMMUNITY HEALTH CENTER, INC",AZ,No,Missing
Practice,10,1962501940,9,ONEILL CLARK NARVARTE & VICKS A PROFESSIONAL CORPORATION,NV,No,Missing
